

                mean	             18.3551	             10.1405	             10.1260
               ci95%	              0.0976	              0.2840	              0.3000
                 min	              7.6190	              6.9694	              6.9463
                 25%	             18.3797	              7.6943	              7.5876
              median	             18.4625	              7.9596	              7.6869
                 75%	             18.5831	              9.2290	              8.6304
                 max	             34.2073	             36.2013	             28.3852
      duration (sec)	            367.1020	            202.8106	            202.5200
throughput (per sec)	          54480.7658	          98614.1820	          98755.6902



                mean	              2.8119	             18.3297	             12.3244	             10.2948
               ci95%	              0.0110	              0.0503	              0.3194	              0.2879
                 min	              2.7635	              7.9407	              5.0279	              5.4030
                 25%	              2.7692	             18.1401	              9.0672	              7.5616
              median	              2.7733	             18.2670	              9.2265	              7.7491
                 75%	              2.7766	             18.4438	             19.2022	             10.1450
                 max	              5.1178	             22.8476	             23.5894	             24.1446
      duration (sec)	             25.3072	            164.9671	            110.9196	             92.6536
throughput (per sec)	         355629.9058	          54556.3196	          81139.8488	          97136.0247



                mean	              2.8076	             17.4510	             12.2836	             10.3684
               ci95%	              0.0108	              0.0357	              0.3109	              0.2453
                 min	              2.7640	              7.3769	              5.4339	              6.2648
                 25%	              2.7707	             17.3105	              8.5279	              8.6367
              median	              2.7721	             17.3866	              9.7903	              8.7860
                 75%	              2.7739	             17.4810	             19.3327	              8.8915
                 max	              5.2284	             21.9375	             23.5241	             22.7077
      duration (sec)	             25.2682	            157.0590	            110.5522	             93.3157
throughput (per sec)	         356179.0608	          57303.3146	          81409.5394	          96446.7431



                mean	              2.8115	             17.9584	             12.1422	             10.3942
               ci95%	              0.0096	              0.0885	              0.2624	              0.3397
                 min	              2.7705	              7.0951	              5.4454	              5.6998
                 25%	              2.7738	             17.8741	             10.2716	              7.1811
              median	              2.7750	             18.1310	             10.4290	              7.6199
                 75%	              2.7763	             18.2598	             14.0073	              9.1758
                 max	              4.0231	             22.0496	             22.0687	             24.3104
      duration (sec)	             25.3038	            161.6257	            109.2800	             93.5478
throughput (per sec)	         355677.5726	          55684.2019	          82357.2685	          96207.5212



                mean	              2.8452	             18.4506	             10.3024	             10.8764
               ci95%	              0.0102	              0.0254	              0.1570	              0.2727
                 min	              2.7980	             17.9601	              5.3855	              5.9408
                 25%	              2.8052	             18.2579	              9.3485	              8.8121
              median	              2.8072	             18.3834	              9.8326	              9.5054
                 75%	              2.8092	             18.5105	             10.6359	             10.2274
                 max	              4.7126	             22.8007	             20.3881	             25.2688
      duration (sec)	             25.6066	            166.0556	             92.7216	             97.8875
throughput (per sec)	         351472.1395	          54198.7283	          97064.7096	          91942.3147



                mean	              2.8159	             18.1110	             11.4470	             11.8387
               ci95%	              0.0094	              0.0359	              0.2752	              0.3107
                 min	              2.7777	              7.2118	              5.7373	              5.3407
                 25%	              2.7855	             17.9682	              7.7913	              7.4595
              median	              2.7870	             18.0711	              9.3879	             10.0187
                 75%	              2.7893	             18.1808	             17.7168	             18.9414
                 max	              5.1092	             21.5617	             24.5845	             23.1605
      duration (sec)	             25.3433	            162.9991	            103.0228	            106.5487
throughput (per sec)	         355124.0102	          55215.0141	          87359.3174	          84468.4333



                mean	              2.8119	             18.3297	             12.3244	             10.2948
               ci95%	              0.0110	              0.0503	              0.3194	              0.2879
                 min	              2.7635	              7.9407	              5.0279	              5.4030
                 25%	              2.7692	             18.1401	              9.0672	              7.5616
              median	              2.7733	             18.2670	              9.2265	              7.7491
                 75%	              2.7766	             18.4438	             19.2022	             10.1450
                 max	              5.1178	             22.8476	             23.5894	             24.1446
      duration (sec)	             25.3072	            164.9671	            110.9196	             92.6536
throughput (per sec)	         355629.9058	          54556.3196	          81139.8488	          97136.0247



                mean	              2.8076	             17.4510	             12.2836	             10.3684
               ci95%	              0.0108	              0.0357	              0.3109	              0.2453
                 min	              2.7640	              7.3769	              5.4339	              6.2648
                 25%	              2.7707	             17.3105	              8.5279	              8.6367
              median	              2.7721	             17.3866	              9.7903	              8.7860
                 75%	              2.7739	             17.4810	             19.3327	              8.8915
                 max	              5.2284	             21.9375	             23.5241	             22.7077
      duration (sec)	             25.2682	            157.0590	            110.5522	             93.3157
throughput (per sec)	         356179.0608	          57303.3146	          81409.5394	          96446.7431



                mean	              2.8115	             17.9584	             12.1422	             10.3942
               ci95%	              0.0096	              0.0885	              0.2624	              0.3397
                 min	              2.7705	              7.0951	              5.4454	              5.6998
                 25%	              2.7738	             17.8741	             10.2716	              7.1811
              median	              2.7750	             18.1310	             10.4290	              7.6199
                 75%	              2.7763	             18.2598	             14.0073	              9.1758
                 max	              4.0231	             22.0496	             22.0687	             24.3104
      duration (sec)	             25.3038	            161.6257	            109.2800	             93.5478
throughput (per sec)	         355677.5726	          55684.2019	          82357.2685	          96207.5212



                mean	              2.8452	             18.4506	             10.3024	             10.8764
               ci95%	              0.0102	              0.0254	              0.1570	              0.2727
                 min	              2.7980	             17.9601	              5.3855	              5.9408
                 25%	              2.8052	             18.2579	              9.3485	              8.8121
              median	              2.8072	             18.3834	              9.8326	              9.5054
                 75%	              2.8092	             18.5105	             10.6359	             10.2274
                 max	              4.7126	             22.8007	             20.3881	             25.2688
      duration (sec)	             25.6066	            166.0556	             92.7216	             97.8875
throughput (per sec)	         351472.1395	          54198.7283	          97064.7096	          91942.3147



                mean	              2.8159	             18.1110	             11.4470	             11.8387
               ci95%	              0.0094	              0.0359	              0.2752	              0.3107
                 min	              2.7777	              7.2118	              5.7373	              5.3407
                 25%	              2.7855	             17.9682	              7.7913	              7.4595
              median	              2.7870	             18.0711	              9.3879	             10.0187
                 75%	              2.7893	             18.1808	             17.7168	             18.9414
                 max	              5.1092	             21.5617	             24.5845	             23.1605
      duration (sec)	             25.3433	            162.9991	            103.0228	            106.5487
throughput (per sec)	         355124.0102	          55215.0141	          87359.3174	          84468.4333



                mean	              2.8452	             18.4506	             10.3024	             10.8764
